idConsulta; Consulta; idRespuestaEsperada(idArticulo) 
1; Cuales son las condiciones para presentarse a un concurso?; 9
2; Quien debe regir la convocatoria para la designacion por concurso de profesores ordinarios?; 3
3; Como se publicita un llamado a concurso?; 6
4; Que contenido tienen los anuncios?; 8
5; Cuales son los requisitos para los aspirantes a un concurso?; 9
6; Cuales son los plazos de inscripcion?; 10
7; En donde se realizan las inscripciones?; 11
8; Que documentacion deben presentar los aspirantes a un concurso?; 13
9; Cuales son los requisitos ante inscripciones multiples? ; 18
10; Que se hace en el cierre de inscripcion?; 19
11; Que se realiza en la exhibicion de nomina de aspirantes; 20
12; Quienes pueden ejercer el derecho de impugnar la participacion en el concurso de los aspirantes?; 21
13; Que consecuencias tiene la interposicion de la impugnacion?; 22
14; Que tiene que pasar para que el consejo directivo excluya a un aspirante?; 23
15; Que organismo designa a los integrantes del jurado?; 25
16; Que condiciones deben reunir los integrantes del jurado?; 27
17; Como se realiza la recusasion de los miembros del jurado?; 29
18; Cuales son los causales de recusasion para algun aspirante?; 28
19; Que organismo resuelve las recusasiones y excusasiones del jurado?; 33
20; Quien reemplaza a un jurado recusado o excusado?; 34
21; Que presencia hace falta para que el jurado funciones validamente?; 39
22; Que antelacion tiene que haber para realizar un sorteo del tema y orden de exposicion?; 40
23; Cuales son las pautas para la evaluacion de un aspirante?; 44
24; Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?; 49
25; A cargo de que organismo esta la designacion de profesores por concurso?; 54
26; Que sucede cuando existen reales dificultades para obtener miembros del jurado?; 62
27; Que se realiza ante la aparicion de una nueva vacante o puesto curricular?; 70
28; Que caracter tienen las solicitudes de inscripcion a un concurso docente?; 73
29; Quienes pueden recusar a los miembros del jurado?; 80
30; Quien resuelve las excusasiones y recusaciones ; 84
31; Que actividades no puede realizar un alumno en categoria pasivo?; 102
32; Hasta cuando se mantiene la regularidad de la asignatura?; 105
33; Que implica la perdida de regularidad?; 107
34; Que es un alumno vocacional?; 109
35; Que derechos tiene un alumno vocacional?; 110
36; Como puede aprobar una asignatura un alumno regular?; 113
37; Como puede aprobar una materia un alumno libre?; 114
38; Como se expresa la calificacion final de una asignatura?; 129
39; Quienes pueden solicitar equivalencias de algunas asignaturas?; 133
40; Que tipo de ambitos son los consejos de carrera?; 201
41; Que datos contienen los anuncios?; 8
42; Quien esta a cargo de la difusion del llamado a concurso?; 6
43; Cual es el periodo de inscripcion a la convocatoria?; 10
44; Como realizo mi solicitud de inscripcion?; 12
45; Cuando presento el pleanamiento de la catedra?; 14
46; Puedo presentarme a mas de un concurso?; 18
47; Puede un apoderado intervenir en mis tramites?; 17
48; Como se designa al jurado?; 25
49; Como se compone el jurado?; 26
50; Cuales son las causales de recusacion de un miembro del jurado?; 30
51; Como evalua el jurado al aspirante?; 44
52; Quienes participan en la deliberacion del jurado?; 46
53; Puede haber mas de un aspirante con el mismo merito?; 48
54; Que restricciones tiene un alumno pasivo?; 102
55; Que podra realizar un alumno activo?; 103
56; Cuanto tiempo se mantiene la regularidad en una asignatura?; 105
57; De que consta la perdida de la regularidad?; 107
58; Que esta habilitado a realizar un alumno libre?; 114
59; En que momento se da a conocer la condiicon de cada alumno?; 115
60; Cuantos turnos de examenes finales se dictan por ano lectivo?; 117
61; Que contiene un acta de evaluacion?; 121
62; Como se lleva control de asignaturas correlativas?; 131
